书名,评分,ISBN,字数（千）,阅读时间(min),速度(字/min）,难度,备注,开始时间,完成时间
硅谷之火,3.5,9787115516824,317,750,= (D2 * 1000 ) / E2,2,,2022.5.11,2023.12.24
前方的路,4,9787115480750,129,281,= (D3 * 1000 ) / E3,1,,2023.12.17,2023.12.20
刻意练习：如何从新手到大师,2.5,9787111551287,271,215,NaN,1,略读，速度无效,2023.12.24,2023.12.29
分成两半的子爵,4,9787544722346,52,111,= (D5 * 1000 ) / E5,1,,2023.12.20,2023.12.29
不存在的骑士,4,9787544722797,72,149,= (D6 * 1000 ) / E6,1,,2023.12.20,2023.12.29
树上的男爵,4,9787544722803,144,276,= (D7 * 1000 ) / E7,1,,2023.12.20,2024.1.8
阿西莫夫科幻短篇全集,4.5,电子书,472,1020,= (D8 * 1000 ) / E8,2,,2024.1.9,2024.1.23
一句顶一万句,4.5,9787535486752,274,493,= (D9 * 1000 ) / E9,1,,2023.12.22,2024.3.4
荒野上的大师：中国考古百年记,4,9787559846150,166,512,= (D10 * 1000 ) / E10,3,,2024.1.28,2024.3.7
向光而行：老俞对谈录,3.5,9787559667991,304,621,= (D11 * 1000 ) / E11,1,,2024.2.26,2024.3.11
天生有罪,4,9787201162638,163,387,= (D12 * 1000 ) / E12,1,,2024.3.12,2024.3.17
太白金星有点烦,4.5,9787572610912,130,340,= (D13 * 1000 ) / E13,1,,2024.3.17,2024.3.17
认知觉醒,4,9787115543424,127,241,= (D14 * 1000 ) / E14,2,,2024.3.17,2024.3.22
奇特的一生,3.5,9787541167911,75,,= (D15 * 1000 ) / E15,1,,2024.3.22,